Song Number,Song Name,Artist Name,Album Name,Release Date,Popularity
253,Gaga,POP,Just For The Moment,2023-01-20,2
254,11:11,POP,11:11,2023-11-11,1
255,Thirsty,POP,Just For The Moment,2023-01-20,1
256,Capablanca,POP,Just For The Moment,2023-01-20,1
257,Lost,POP,Just For The Moment,2023-01-20,0
258,Way Off,POP,7days / Way Off,2023-11-24,0
259,Used To,POP,Just For The Moment,2023-01-20,0
260,7days,POP,7days / Way Off,2023-11-24,0
261,Apna Bana Le,Sachin-Jigar,Bhediya (Original Motion Picture Soundtrack),2022-12-06,80
262,"Aaj Ki Raat (From ""Stree 2"")",Sachin-Jigar,"Aaj Ki Raat (From ""Stree 2"")",2024-07-24,79
263,"Aayi Nai (From ""Stree 2"")",Sachin-Jigar,"Aayi Nai (From ""Stree 2"")",2024-08-01,75
264,Kesariya,Pritam,Brahmastra (Original Motion Picture Soundtrack),2022-10-06,71
265,"Tumhare Hi Rahenge Hum (From ""Stree 2"")",Sachin-Jigar,"Tumhare Hi Rahenge Hum (From ""Stree 2"")",2024-08-06,75
266,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,Rocky Aur Rani Kii Prem Kahaani,2024-05-15,73
267,"Uyi Amma - From ""Azaad""",Amit Trivedi,"Uyi Amma (From ""Azaad"")",2025-01-04,77
268,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,Rocky Aur Rani Kii Prem Kahaani,2024-05-15,69
269,"Taras - From ""Munjya""",Sachin-Jigar,"Taras (From ""Munjya"")",2024-05-27,76
270,"Khoobsurat (From ""Stree 2"")",Sachin-Jigar,"Khoobsurat (From ""Stree 2"")",2024-08-09,75
271,Shake for Me,Dj Smurf,"Rhythm & Quad 166, Vol. 1",1998-02-24,6
272,Cruel Summer,Taylor Swift,Lover,2019-08-23,91
273,Style,Taylor Swift,1989 (Deluxe),2014-01-01,86
274,Blank Space,Taylor Swift,1989 (Deluxe),2014-01-01,85
275,august,Taylor Swift,folklore,2020-07-24,87
276,cardigan,Taylor Swift,folklore,2020-07-24,86
277,Lover,Taylor Swift,Lover,2019-08-23,87
278,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,85
279,Shake It Off,Taylor Swift,1989 (Deluxe),2014-01-01,84
280,Don’t Blame Me,Taylor Swift,reputation,2017-11-10,86
281,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,reputation Stadium Tour Surprise Song Playlist,2017-11-09,84
282,Jeena Jeena,Sachin-Jigar,Badlapur (Original Motion Picture Soundtrack),2014-12-09,81
283,Dil Diyan Gallan,Atif Aslam,YRF Top 10 - Falling in Love,2021-02-13,78
